Date,Time,Temperature,Condition
2024-10-13,01:26,52,N/A
2024-10-13,00:00:00,55,Clear,Sunny
2024-10-13,03:00:00,52,Clear,Sunny
2024-10-13,06:00:00,49,Clear,Sunny
2024-10-13,09:00:00,48,Overcast,Very Cloudy
2024-10-13,12:00:00,46,Overcast,Very Cloudy
2024-10-13,15:00:00,48,Overcast,Very Cloudy
2024-10-13,18:00:00,53,Overcast,Very Cloudy
2024-10-13,21:00:00,51,Overcast,Very Cloudy
2024-10-14,00:00:00,48,Overcast,Very Cloudy
2024-10-14,03:00:00,47,Light rain,Light Rain
2024-10-14,06:00:00,47,Heavy rain,Heavy Rain
2024-10-14,09:00:00,46,Overcast,Very Cloudy
2024-10-14,12:00:00,46,Overcast,Very Cloudy
2024-10-14,15:00:00,50,Partly Cloudy,Partly Cloudy
2024-10-14,18:00:00,50,Sunny,Sunny
2024-10-14,21:00:00,45,Clear,Sunny
2024-10-15,00:00:00,42,Clear,Sunny
2024-10-15,03:00:00,40,Partly Cloudy,Partly Cloudy
2024-10-15,06:00:00,40,Cloudy,Cloudy
2024-10-15,09:00:00,41,Overcast,Very Cloudy
2024-10-15,12:00:00,45,Cloudy,Cloudy
2024-10-15,15:00:00,47,Partly Cloudy,Partly Cloudy
2024-10-15,18:00:00,45,Partly Cloudy,Partly Cloudy
2024-10-15,21:00:00,42,Clear,Sunny
